,PVMATH,PVREAD,PVSCIE,PVMCCR,PVMCQN,PVMCSS,PVMCUD,PVMPEM,PVMPFS,PVMPIN,PVMPRE
118,1,3,3,3,3,3,3,3,3,3,3
119,1,4,4,4,4,4,4,4,4,4,4
120,1,3,2,4,4,4,4,4,4,4,4
121,0,1,1,1,1,1,1,1,1,1,1
122,0,2,1,2,1,1,1,1,2,2,2
123,0,2,2,2,2,2,2,2,2,2,2
124,1,2,2,3,3,2,2,3,3,3,2
125,0,2,2,2,1,2,1,2,2,2,2
126,0,1,1,1,1,1,1,1,1,1,1
127,0,2,2,1,2,2,2,2,1,2,2
128,1,2,2,3,2,2,2,2,2,3,3
129,1,3,4,3,3,3,3,3,3,4,3
130,0,1,1,1,1,1,1,1,1,1,1
131,0,3,2,1,1,2,2,1,2,1,1
132,1,4,3,3,3,3,3,3,3,4,3
133,0,1,1,1,2,2,1,2,1,1,2
134,1,4,4,4,4,4,4,4,4,4,4
135,0,1,1,1,1,1,1,1,1,1,1
136,0,1,1,1,1,1,1,1,1,2,1
137,1,4,4,4,4,4,4,4,4,4,4
138,0,2,2,2,2,2,2,2,2,2,2
139,0,3,2,2,3,3,2,2,2,2,3
140,0,1,1,1,1,1,1,1,1,1,1
141,0,2,1,1,2,2,2,2,2,2,1
142,0,1,1,1,1,1,1,1,1,1,1
143,1,4,3,3,3,3,3,3,3,4,3
144,1,2,3,3,3,3,3,2,2,3,3
145,1,4,4,3,3,3,3,4,4,3,3
146,1,4,4,4,3,4,4,4,4,4,4
147,1,4,4,4,4,4,4,4,4,4,4
148,0,3,3,2,3,2,2,2,2,2,3
149,1,3,3,3,3,2,3,3,3,3,2
150,1,4,2,3,3,3,3,3,3,3,3
151,0,3,2,2,2,2,3,2,2,2,2
152,1,4,3,4,4,3,3,4,4,4,3
153,1,4,4,4,4,4,4,4,4,4,4
154,0,2,2,2,2,2,1,2,2,2,2
155,1,2,2,3,3,3,3,3,4,4,3
156,0,1,1,1,1,1,1,1,1,1,1
157,0,1,2,2,1,2,1,2,2,1,1
158,1,3,4,3,4,3,4,4,4,4,3
159,0,1,2,2,1,1,1,1,2,1,1
160,0,2,1,1,2,2,1,2,2,1,1
161,1,3,3,3,3,3,3,3,3,3,3
162,1,2,3,3,3,3,3,3,3,3,3
163,1,4,3,3,3,3,4,3,3,3,3
164,1,2,2,3,3,3,2,3,3,2,3
165,1,4,4,4,4,4,4,4,4,4,4
166,0,1,1,1,1,1,1,1,1,1,1
167,0,1,1,2,2,2,2,2,2,1,2
168,1,4,4,4,4,4,4,4,4,3,4
169,0,1,1,1,1,1,1,1,1,1,1
170,0,1,1,1,2,1,1,1,1,1,1
171,1,2,3,3,3,3,3,3,3,3,3
172,0,2,2,2,2,2,2,2,2,2,2
173,1,4,3,3,3,4,4,4,3,4,4
174,1,4,4,3,3,3,3,4,3,3,3
175,0,3,2,2,2,2,2,2,2,2,2
176,0,1,2,2,2,2,2,1,2,1,2
177,1,4,4,4,4,4,4,4,4,4,4
178,0,1,1,1,1,1,1,1,1,1,1
179,1,3,4,4,3,3,4,3,3,4,3
180,0,1,1,2,1,1,1,2,2,1,1
181,0,3,2,2,2,2,3,2,2,2,2
182,1,4,3,3,3,3,3,3,3,3,3
183,0,3,2,2,2,2,2,2,2,2,2
184,1,4,3,4,4,4,3,4,3,3,3
185,0,2,2,2,2,2,2,2,2,2,2
186,1,4,4,3,3,3,3,3,4,3,4
187,1,4,4,4,4,4,4,4,4,4,4
188,1,4,4,4,4,3,4,4,4,4,3
189,0,2,2,1,1,1,1,1,1,1,1
190,1,3,3,4,4,4,4,4,4,4,4
191,0,1,1,1,1,1,2,1,1,1,1
192,1,3,4,3,2,3,3,3,3,3,3
193,0,2,1,1,2,2,2,2,1,2,2
194,0,1,1,1,1,1,1,1,1,1,1
195,1,2,3,2,3,2,3,3,2,2,3
196,0,2,1,2,2,2,2,2,2,2,2
197,1,4,4,4,4,4,4,4,4,4,4
198,1,3,3,3,3,2,3,3,2,3,2
199,1,4,4,4,4,4,4,4,4,4,4
200,1,3,4,3,3,3,4,3,3,4,3
201,0,1,1,1,1,1,1,1,1,1,1
202,0,2,2,3,3,3,2,2,2,2,3
203,0,1,1,1,1,1,1,1,1,1,1
204,1,3,3,4,4,3,4,4,4,3,4
205,1,4,3,3,3,4,3,4,3,4,4
206,0,1,1,1,1,1,1,1,1,1,1
207,0,1,1,1,1,1,1,1,1,1,1
208,0,2,3,2,2,2,2,2,2,2,2
209,0,2,1,1,1,1,2,2,1,1,1
210,1,2,4,4,4,4,4,4,4,3,4
211,1,3,4,3,3,4,4,3,3,3,4
212,0,1,1,1,1,1,1,1,1,1,1
213,1,4,3,3,4,3,4,3,4,4,3
214,1,4,3,3,4,3,4,3,4,3,3
215,1,3,2,3,2,2,2,2,2,3,2
216,0,1,1,1,1,1,1,1,1,1,1
217,0,3,2,2,2,2,2,2,2,2,2
218,1,3,3,3,3,4,3,3,3,3,3
219,0,3,3,2,3,2,3,3,2,3,3
220,0,1,1,2,2,1,1,2,1,1,2
221,1,4,4,4,3,4,3,3,4,3,3
222,0,1,1,2,2,2,2,2,2,3,2
223,1,4,4,4,4,4,4,4,4,4,4
224,0,2,3,3,2,1,1,2,2,2,1
225,0,2,2,2,2,2,2,2,2,2,2
226,1,4,3,4,4,4,4,4,4,4,4
227,1,4,4,4,4,4,4,4,4,4,4
228,1,3,4,4,4,4,4,4,4,4,4
229,1,4,4,4,4,4,4,4,4,4,4
230,0,3,2,3,3,2,2,3,3,3,2
231,0,3,2,2,2,2,2,2,2,1,2
232,0,1,1,2,2,2,2,2,2,2,2
233,0,3,2,2,2,2,2,2,2,2,2
234,0,2,2,2,2,2,2,3,2,3,2
235,0,1,1,1,1,1,1,1,1,1,1
236,0,4,2,2,2,2,2,2,2,3,2
237,1,2,3,2,3,2,2,3,3,3,2
238,0,3,3,2,1,2,2,2,1,2,2
239,1,3,4,3,3,4,3,3,3,3,4
240,0,1,2,1,1,2,2,1,2,1,2
241,1,4,4,4,4,4,4,4,4,4,4
242,1,3,3,2,3,3,3,3,3,3,3
243,0,2,2,2,2,1,2,2,2,2,2
244,1,3,3,3,3,3,3,3,3,3,3
245,1,1,2,3,3,2,2,3,3,2,3
246,1,4,4,4,4,4,4,4,4,4,4
247,0,3,2,3,2,2,3,3,2,2,3
248,1,3,3,4,4,3,4,3,4,3,3
249,0,1,2,1,1,2,1,2,1,2,1
250,1,4,4,4,4,4,4,4,4,3,4
251,1,4,4,4,4,3,3,4,4,4,3
252,0,1,1,1,1,1,1,1,1,1,1
253,0,1,1,1,1,1,1,1,1,1,1
254,1,4,4,4,4,4,4,4,4,4,4
255,1,3,2,3,3,3,3,3,3,3,3
256,0,1,1,1,1,1,1,1,1,1,1
257,1,2,3,3,4,3,4,4,3,3,3
258,1,3,3,3,3,3,3,3,3,2,3
259,1,4,2,3,3,3,2,3,3,2,3
260,1,2,3,2,3,2,2,3,2,3,2
261,0,1,1,1,1,1,1,1,1,1,1
262,1,4,4,4,4,4,4,4,4,4,4
263,0,1,1,1,1,1,1,1,1,1,1
264,0,2,1,1,1,1,2,1,1,1,1
265,0,2,3,2,2,2,2,2,2,1,2
266,0,1,1,2,1,2,1,1,1,1,1
267,1,2,3,3,3,3,3,3,3,3,3
268,0,1,1,1,1,1,1,1,1,1,1
269,0,3,2,1,2,1,1,2,2,2,2
270,1,2,2,2,3,3,3,2,3,2,3
271,0,1,1,1,1,1,1,1,1,1,1
272,0,1,1,1,1,1,1,1,1,1,1
273,0,2,1,1,1,1,1,1,1,1,1
274,0,3,2,2,2,2,2,2,2,2,1
275,1,2,2,3,3,3,2,3,3,3,2
276,1,4,4,3,2,3,3,3,2,3,3
277,0,1,1,1,1,1,1,1,1,1,1
278,1,4,4,4,4,4,4,4,4,4,4
279,0,3,2,2,3,3,2,3,2,3,2
280,0,1,1,1,1,1,1,1,1,1,1
281,1,3,3,2,2,2,2,2,2,2,2
282,1,4,4,4,4,4,4,4,4,4,4
283,1,3,3,4,3,3,3,3,3,3,3
284,0,1,1,1,1,1,1,1,1,1,1
285,0,1,1,1,1,1,1,1,1,1,1
286,0,1,1,1,1,1,1,1,1,1,1
287,1,4,3,2,3,3,3,2,3,3,3
288,1,3,4,4,4,4,4,4,4,4,4
289,1,4,4,4,4,4,3,3,4,3,4
290,0,1,1,2,2,2,2,1,2,1,2
291,1,3,3,3,3,3,3,3,3,3,3
292,1,3,3,2,3,2,3,3,3,2,3
293,0,2,3,3,2,2,2,2,3,3,2
294,0,1,1,2,2,2,1,2,2,2,2
295,1,4,4,4,4,3,4,3,4,4,4
296,0,3,2,2,2,3,2,2,2,2,2
297,0,1,1,2,1,1,1,1,2,2,1
298,0,1,1,1,1,1,1,1,1,1,1
299,1,3,3,3,4,4,4,4,4,3,4
300,0,2,2,2,2,3,2,2,2,2,2
301,1,3,4,4,4,4,4,4,4,4,4
302,1,2,3,3,3,3,2,2,3,2,2
303,0,2,3,2,2,2,2,2,2,2,2
304,1,4,4,4,4,4,4,4,4,4,4
305,1,4,4,4,4,4,4,4,4,4,4
306,0,2,1,1,2,1,2,2,2,2,1
307,1,2,3,3,3,3,3,3,3,3,3
308,1,4,4,4,4,4,4,4,4,4,4
309,1,4,4,4,4,4,4,4,4,4,4
310,0,1,1,1,1,1,1,1,1,1,1
311,0,1,1,1,1,1,1,1,1,1,1
312,1,2,2,3,3,3,3,3,3,3,3
313,0,2,1,1,1,1,2,2,2,1,1
314,0,2,2,2,2,1,2,2,2,2,2
315,0,2,2,2,2,3,2,2,3,2,2
316,1,3,3,3,2,2,3,3,3,3,2
317,0,1,1,1,1,1,1,1,1,1,1
318,0,1,1,1,1,1,1,1,1,1,1
319,0,2,1,2,2,2,2,2,2,1,2
320,0,3,3,2,2,2,2,2,2,2,2
321,0,1,1,1,1,1,1,1,1,1,1
322,0,1,1,1,1,1,1,1,1,1,1
323,1,4,4,4,4,4,4,4,3,4,4
324,0,2,3,1,1,1,2,1,1,2,1
325,1,4,4,4,4,4,4,4,4,4,4
326,0,1,1,1,1,1,2,1,1,1,1
327,1,4,4,4,4,4,4,4,4,4,4
328,0,2,2,2,2,2,2,2,2,2,2
329,1,2,3,4,4,3,4,3,4,3,3
330,1,4,4,4,4,4,4,4,4,4,4
331,1,4,4,4,4,4,4,4,4,4,4
332,0,1,1,1,1,1,1,1,1,1,1
333,0,1,1,1,1,1,1,1,1,1,1
334,1,4,4,4,4,4,4,4,4,4,4
335,1,4,4,4,4,4,4,4,4,4,4
336,1,3,3,3,3,3,3,3,3,3,3
337,0,1,1,2,1,2,1,1,2,1,2
338,0,2,2,2,2,2,2,2,2,2,2
339,0,2,2,2,2,2,2,2,2,2,2
340,1,3,3,3,3,3,3,3,3,3,3
341,0,2,1,1,1,1,1,1,1,1,1
342,1,3,3,3,3,3,3,3,3,3,4
343,1,3,3,3,3,3,3,3,3,3,3
344,0,2,3,2,2,2,3,2,2,2,2
345,1,2,3,4,3,4,4,4,4,3,4
346,0,2,2,2,2,3,3,2,2,2,2
347,1,4,4,4,4,4,4,4,4,4,4
348,0,2,2,1,1,1,1,1,1,1,1
349,1,3,3,4,4,4,4,4,4,4,3
350,1,2,3,3,3,3,3,3,3,3,3
351,1,4,4,4,4,4,4,4,4,4,4
352,1,4,4,3,4,3,3,4,4,4,3
353,1,4,3,4,4,3,4,4,4,3,3
354,1,3,4,4,4,4,4,4,4,4,4
355,0,1,1,1,1,1,2,1,1,2,1
356,0,1,1,1,1,1,1,1,1,1,1
357,0,1,1,1,1,1,1,1,1,1,1
358,1,4,4,4,4,4,4,4,4,4,4
359,0,1,1,2,2,1,1,2,2,1,1
360,1,4,4,4,4,4,4,4,4,4,4
361,0,3,2,2,3,2,2,2,3,2,2
362,0,1,1,1,1,1,1,1,1,1,1
363,0,1,1,1,1,1,1,1,1,1,1
364,0,1,1,1,1,1,2,1,1,1,1
365,0,4,2,2,3,2,2,2,2,2,2
366,0,1,1,1,1,1,2,1,1,2,1
367,1,2,3,3,3,3,3,3,3,3,3
368,0,1,1,1,1,1,1,1,1,1,1
369,1,3,3,3,3,3,3,3,3,3,3
370,1,4,3,4,3,4,3,4,4,3,4
371,0,3,2,2,2,2,1,2,2,2,2
372,0,1,1,1,1,1,1,1,1,1,1
373,0,1,1,1,1,1,1,1,1,1,1
374,1,4,4,4,4,4,4,4,4,4,4
375,0,2,1,1,1,1,1,1,1,1,1
376,1,4,3,3,3,3,3,3,3,3,4
377,1,4,3,4,3,3,4,3,4,4,3
378,0,3,2,2,2,3,2,2,2,3,3
379,1,3,4,4,4,4,4,4,4,4,4
380,0,2,1,1,2,2,1,1,1,1,1
381,1,4,3,4,3,3,4,4,3,4,3
382,1,3,4,4,4,4,4,4,4,4,4
383,1,4,4,4,3,3,3,3,3,4,3
384,1,4,3,3,3,3,3,3,3,3,4
385,0,2,2,1,1,1,1,1,1,1,1
386,0,2,2,2,1,2,2,1,2,1,2
387,0,2,2,2,2,2,2,2,2,2,2
388,1,3,4,4,3,4,3,4,3,3,4
389,1,4,4,3,3,4,3,4,4,4,4
390,0,1,1,1,1,1,1,1,1,1,1
391,1,2,2,3,3,3,3,3,3,3,4
392,0,2,1,2,1,1,1,1,1,2,1
393,0,1,1,1,1,1,1,1,1,1,1
394,0,2,2,1,1,1,1,1,1,1,1
395,0,1,1,1,1,1,1,1,1,1,1
396,1,2,2,2,2,3,3,2,3,2,3
397,1,3,3,3,3,3,3,3,3,3,3
398,0,1,1,1,1,1,1,1,1,1,1
399,1,4,3,3,3,3,3,3,3,3,3
400,0,2,3,2,2,2,3,2,2,3,2
401,0,1,1,1,1,1,1,1,1,1,1
402,1,4,3,4,4,3,4,3,4,4,3
403,0,1,1,1,1,1,1,1,1,1,1
404,1,3,3,3,2,3,3,3,3,3,3
405,0,3,2,3,2,2,2,2,2,2,2
406,1,4,4,4,4,4,4,4,4,4,4
407,0,1,1,1,1,1,1,1,1,1,1
408,1,2,4,4,4,4,4,4,4,4,4
409,1,4,3,2,3,3,3,3,3,3,2
410,0,4,3,2,2,2,2,2,2,2,2
411,0,3,3,2,2,2,3,2,2,2,2
412,1,3,3,4,4,4,3,4,3,4,4
413,1,4,2,3,3,3,2,3,3,3,3
414,1,4,4,4,4,4,4,4,4,4,4
415,1,3,3,3,3,3,3,4,3,4,4
416,1,2,2,3,3,3,3,3,3,3,3
417,1,4,3,3,3,3,3,3,3,4,3
418,0,1,1,1,1,1,1,1,1,1,1
419,0,1,1,1,1,1,2,2,2,1,1
420,1,4,4,4,4,4,4,4,4,4,4
421,1,4,4,3,3,3,3,3,4,3,3
422,0,2,2,1,2,1,1,1,2,1,2
423,1,3,3,3,3,3,3,3,3,3,3
424,0,2,1,1,1,1,1,1,1,2,1
425,0,2,2,2,2,2,3,2,2,2,2
426,0,3,2,1,2,1,1,1,1,2,1
427,1,4,3,3,3,3,3,3,3,3,3
428,0,2,1,2,2,1,1,2,2,2,2
429,0,1,1,1,1,1,1,1,1,1,1
430,1,3,3,3,3,3,3,3,3,3,3
431,0,3,3,2,2,2,2,2,2,2,2
432,0,3,2,2,2,3,2,3,2,2,2
433,1,3,3,4,4,4,4,4,4,4,4
434,0,1,1,1,2,1,2,1,1,1,1
435,0,1,2,1,1,2,2,2,2,2,2
436,0,1,1,1,1,1,1,1,1,1,1
437,1,4,4,4,3,4,3,3,3,3,3
438,0,2,2,3,2,2,1,2,2,2,2
439,1,4,3,4,4,3,4,4,4,4,3
440,1,4,4,4,4,4,3,3,4,4,3
441,0,2,2,2,2,2,2,2,2,2,2
442,1,4,4,4,4,4,4,4,4,4,4
443,1,3,4,3,3,3,3,3,3,3,3
444,1,3,3,2,3,4,2,3,3,3,3
445,0,2,1,1,2,2,2,1,1,1,1
446,0,1,1,1,1,1,1,1,1,1,1
447,1,3,4,4,3,4,4,4,0,3,4
448,0,1,2,1,1,2,1,1,1,1,2
449,0,2,2,2,2,2,2,2,2,2,2
450,1,3,3,3,4,4,4,4,3,4,4
451,1,3,3,4,3,3,2,3,3,3,3
452,0,1,3,2,1,1,1,2,1,1,2
453,0,1,3,2,2,2,2,2,1,2,2
454,0,2,3,2,2,2,2,2,2,2,2
455,1,4,4,4,4,4,4,4,4,4,4
456,1,3,4,4,4,3,4,4,3,3,4
457,0,2,1,2,1,2,1,1,2,2,2
458,0,2,2,2,2,2,2,2,2,1,2
459,1,4,3,4,4,4,4,4,4,4,4
460,1,3,3,3,3,3,3,3,2,3,2
461,1,4,4,4,4,4,4,4,4,4,4
462,1,4,4,4,4,4,4,4,4,4,4
463,0,3,2,2,2,3,2,3,2,2,2
464,1,2,3,3,3,3,3,3,3,3,3
465,0,1,1,1,1,1,1,1,1,1,1
466,0,1,1,1,2,1,2,1,2,1,2
467,0,1,1,1,1,1,1,1,1,1,1
468,0,2,2,2,2,2,2,2,2,2,2
469,0,2,2,1,1,1,1,1,1,1,1
470,0,3,2,2,2,1,2,2,2,2,1
471,1,4,4,4,4,4,4,4,4,4,4
472,1,4,4,4,4,4,4,4,4,4,4
473,1,3,3,3,3,3,4,3,4,3,3
474,1,3,4,3,3,3,3,4,3,3,3
475,0,1,2,1,2,1,1,1,1,2,1
476,1,3,4,3,3,3,3,3,3,3,4
477,0,1,1,1,1,1,1,1,1,1,1
478,0,1,1,1,1,1,1,1,1,1,1
479,0,2,3,1,1,2,2,2,1,2,1
480,0,2,3,2,2,2,2,2,2,2,2
481,0,2,2,2,2,3,2,2,3,2,3
482,1,3,4,4,4,4,4,4,4,4,4
483,0,1,1,1,1,2,2,1,2,1,2
484,0,3,2,2,3,3,3,3,2,3,3
485,1,4,4,4,4,4,4,4,4,4,4
486,0,2,2,2,1,2,1,1,1,1,1
487,1,4,4,4,4,4,4,4,4,4,4
488,0,2,2,1,1,2,2,1,1,2,2
489,0,1,1,1,1,1,1,1,1,1,1
490,1,3,1,3,2,2,2,3,3,2,3
491,0,1,1,1,1,1,1,1,1,1,1
492,0,1,1,1,2,1,1,1,1,1,1
493,0,2,2,2,2,1,2,2,2,2,1
494,1,4,4,4,4,3,4,3,4,3,4
495,0,1,1,1,1,1,1,1,1,1,1
496,0,1,1,1,1,1,1,1,1,1,1
497,0,3,2,2,2,2,2,2,2,1,2
498,0,1,1,1,1,1,1,1,1,1,1
499,0,1,1,1,1,1,1,1,1,1,1
500,1,3,2,3,2,2,3,3,2,3,3
501,1,3,3,3,3,3,3,2,2,2,3
502,0,1,1,1,1,1,1,1,1,1,1
503,0,2,3,2,2,3,2,2,2,2,2
504,0,1,2,1,2,1,1,1,1,1,2
505,0,1,1,1,1,1,1,1,1,1,1
506,1,3,3,3,3,3,3,4,3,4,3
507,1,3,3,3,3,3,3,3,3,3,3
508,0,1,1,1,1,1,1,1,1,1,1
509,1,4,3,3,3,3,4,3,3,4,3
510,0,1,1,1,2,1,1,1,1,1,2
511,0,1,1,1,1,1,1,1,1,1,1
512,0,2,1,2,1,2,2,1,2,2,2
513,1,4,4,4,3,3,4,3,4,4,4
514,1,3,3,3,3,3,3,3,3,3,3
515,1,2,3,4,3,3,4,3,3,3,3
516,0,2,3,2,2,1,2,2,2,2,1
517,1,4,4,3,3,3,3,3,3,3,3
518,1,4,4,3,3,4,4,3,4,4,4
519,1,4,4,3,4,3,4,3,3,3,3
520,1,3,3,3,3,3,3,3,3,3,2
521,0,1,1,1,1,1,1,1,1,1,1
522,0,3,2,2,2,3,3,2,2,2,2
523,0,1,1,1,1,1,1,1,1,1,1
524,0,2,2,2,2,2,2,2,2,1,2
525,0,2,3,2,2,2,2,2,2,2,2
526,0,1,1,1,1,1,1,1,1,1,1
527,0,1,1,1,1,1,1,1,1,1,1
528,1,4,3,3,3,3,3,3,3,3,3
529,1,4,3,4,4,4,4,4,4,4,4
530,1,4,4,4,4,4,4,4,4,4,4
531,0,2,2,2,2,2,2,2,2,2,2
532,0,1,1,1,1,1,1,1,1,1,1
533,0,1,1,1,1,1,1,1,1,1,1
534,0,1,2,2,1,2,2,2,1,2,2
535,1,3,4,4,4,4,4,4,4,4,4
536,1,3,3,4,4,3,3,3,3,3,3
537,1,3,3,3,3,3,3,3,2,3,2
538,1,4,4,4,4,4,4,4,4,4,4
539,0,1,1,1,1,1,1,1,1,1,1
540,0,1,1,1,1,1,1,1,1,1,1
541,1,4,4,3,3,3,3,3,3,3,3
542,1,4,4,3,4,3,4,3,3,4,3
543,1,4,4,4,4,3,4,4,4,4,4
544,1,3,3,3,4,3,3,3,3,3,3
545,1,4,4,4,4,4,4,4,4,4,4
546,0,3,3,2,2,3,3,3,3,2,2
547,1,4,4,4,4,4,4,3,4,4,4
548,1,3,3,3,3,3,4,3,4,3,3
549,0,1,1,2,2,2,2,2,2,2,2
550,1,4,3,3,4,3,3,4,4,3,4
551,0,1,1,1,1,1,1,1,1,1,1
552,0,1,1,1,1,1,1,1,1,1,1
553,1,3,2,3,2,2,3,3,3,2,2
554,1,3,4,3,3,3,3,3,3,3,3
555,0,2,2,2,3,2,2,2,3,3,2
556,0,2,2,2,1,1,2,2,2,2,2
557,1,4,3,4,3,3,4,3,3,3,3
558,0,1,1,1,1,1,1,1,1,1,1
559,0,1,1,1,1,1,1,1,1,1,1
560,1,4,4,4,4,4,4,4,4,4,4
561,1,4,3,4,4,4,4,4,4,4,4
562,0,1,1,1,1,1,1,1,1,1,1
563,1,4,4,4,4,4,4,4,4,4,4
564,1,4,4,4,4,4,4,4,4,4,4
565,0,3,2,2,2,2,2,2,2,2,2
566,0,1,1,1,1,1,1,1,1,1,1
567,1,4,3,3,3,3,3,3,3,2,3
568,0,1,1,1,1,1,1,1,1,2,1
569,0,1,1,1,1,1,1,1,1,1,1
570,0,2,2,2,2,3,3,2,2,2,3
571,1,2,4,4,4,3,3,4,4,4,3
572,1,3,3,3,3,4,3,3,3,2,3
573,0,1,1,1,1,1,1,1,1,1,1
574,1,2,2,3,3,3,3,3,3,3,3
575,1,2,2,3,3,3,3,3,3,3,3
576,1,2,3,3,3,3,3,3,3,3,3
